职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
商务数据分析专员,中国药学会科技开发中心,8千-1万,北京·朝阳区,无需经验,硕士,国企,50-150人,学术/科研,https://jobs.51job.com/beijing/140850389.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coVjUBZlAwVWgFYQBjAmY.html
数据分析经理/主管,国泰君安证券股份有限公司,30-50万/年,上海·静安区,2年,硕士,国企,10000人以上,,https://jobs.51job.com/shanghai/145322108.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coAmUCY1Q0VWkAbQZtVjI.html
数据分析师(J10199),无锡尚佰环球电子商务有限公司,1-1.6万·13薪,上海·闵行区,1年,本科,民营,150-500人,服装/纺织/皮革,https://jobs.51job.com/shanghai/148026816.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coUzZWO1A6DjJWNgxuXTo.html
数据分析经理,湖北咿呀医疗投资管理有限公司,1.5-2万,上海·浦东新区,1年,本科,民营,1000-5000人,医疗/护理/卫生,https://jobs.51job.com/shanghai/147097227.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coCWxcPFA6Bz1TPwFnB2o.html
数据分析专员,广州广颖创网络科技有限公司,6-9千,广州,1年,大专,民营,500-1000人,互联网/电子商务,https://jobs.51job.com/guangzhou/146255902.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coVDRdPwBrVGIDbwZjBWM.html
数据分析师,鑫荣懋果业科技集团股份有限公司,1.2-2万·13薪,深圳·龙岗区,3-4年,本科,合资,1000-5000人,快速消费品(食品、饮料、化妆品),https://jobs.51job.com/shenzhen/147051794.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coAmcBYQNhADoHYgNg.html
商务数据分析师,思特威（上海）电子科技股份有限公司,1.5-2.5万·13薪,上海·闵行区,5-7年,本科,外资（欧美）,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/147775588.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coUjZQMgJpDjgEaQFqUDc.html
数据分析师,上海晨曦股权投资基金管理有限公司,8千-1.1万,上海,2年,本科,民营,150-500人,,https://jobs.51job.com/fuzhou/145767263.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coAmMHZgNkBztWM1E6XD8.html
数据分析师（Power BI开发）,友邦资讯科技（广州）有限公司成都分公司,8千-1.1万·13薪,成都,1年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/chengdu/146850033.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coCGkHZwVnVGgGYlQyVDM.html
数据分析（平台管理员）,广州广颖创网络科技有限公司,8千-1.2万·13薪,广州,1年,本科,民营,500-1000人,互联网/电子商务,https://jobs.51job.com/guangzhou/147154787.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coVDRdPwBrVGIDbwZjBWM.html
数据分析,达喏人工智能科技（上海）有限公司,1-1.5万·14薪,上海·黄浦区,2年,本科,民营,500-1000人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/141009857.html?s=sou_sou_soulb&t=0_0&req=0403c241a061dc56d057f5add65f137f,https://jobs.51job.com/all/coAWAGYFM2UWxSNlAwB2c.html
数据分析师,广州丝一美容美发品有限公司,9千-1.6万,广州·白云区,2年,本科,民营,500-1000人,美容/保健,https://jobs.51job.com/guangzhou/137736939.html?s=sou_sou_soulb&t=0_0&req=0403c241a061dc56d057f5add65f137f,https://jobs.51job.com/all/coAmEHYAJmUmQDb1YwBmA.html
运营数据分析,深圳市云乔诚科技有限公司,9千-1.4万·13薪,广州·天河区,1年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/guangzhou/140311263.html?s=sou_sou_soulb&t=0_0&req=0403c241a061dc56d057f5add65f137f,https://jobs.51job.com/all/coVjcAZVcyUWlWMgxsUDc.html
数据分析师,四川新升投资集团有限公司,8千-1.2万,成都·高新区,3-4年,大专,民营,500-1000人,多元化业务集团公司,https://jobs.51job.com/deyang/143283769.html?s=sou_sou_soulb&t=0_0&req=0005b406614030e27dfd4121662bb5f8,https://jobs.51job.com/all/coUjdVNlI5VGoCYANlVzE.html
Python数据分析师,上海特思尔大宇宙商务咨询有限公司,8千-1万·13薪,上海·静安区,1年,本科,外资（非欧美）,1000-5000人,互联网/电子商务,https://jobs.51job.com/shanghai/144903826.html?s=sou_sou_soulb&t=0_0&req=0403c241a061dc56d057f5add65f137f,https://jobs.51job.com/all/coCGpRNFA1VmwHZVY2VzE.html
