职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
B/C端销售经理/大客户销售经理,上海礼馨实业有限公司,5-6千,上海·金山区,2年,大专,民营,少于50人,,https://jobs.51job.com/shanghai/147848480.html?s=sou_sou_soulb&t=0_0&req=0e5d9df42ecd25740e564038deb68244,https://jobs.51job.com/all/coA2IAY1A3VGIObgVnUjE.html
"嵌入式软件开发工程师(C/C++, Linux)",上海欣诺通信技术股份有限公司,1-2万·13薪,上海·松江区,2年,本科,民营,500-1000人,通信/电信/网络设备,https://jobs.51job.com/shanghai/75316266.html?s=sou_sou_soulb&t=0_0&req=85a78d7b6047250f8a41d23d6e4506fc,https://jobs.51job.com/all/coUTVRNwNoBjkBYwBgAGM.html
C开发（广州） (MJ008044),神州数码信息服务股份有限公司,1.8-2.5万,广州,5-7年,本科,已上市,10000人以上,计算机软件,https://jobs.51job.com/guangzhou/142075266.html?s=sou_sou_soulb&t=0_0&req=0e5d9df42ecd25740e564038deb68244,https://jobs.51job.com/all/coVDBSMFQ_BDkBZlE0UD0.html
C/C++开发工程师(J11113),曙光信息产业股份有限公司,2.5-3万,佛山·顺德区,5-7年,本科,国企,1000-5000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/beijing/145638520.html?s=sou_sou_soulb&t=0_1&req=85a78d7b6047250f8a41d23d6e4506fc,https://jobs.51job.com/all/coUzcFZQJlAjgGZ1My.html
C臂产品销售专员 (R3699880),GE医疗集团,,北京,5-7年,本科,外资（欧美）,5000-10000人,,http://ge.51job.com/sc/jobdetail.html?jobid=146949301,http://ge.51job.com
销售主管（优才计划）C,中国平安人寿保险股份有限公司四川分公司,1.5-3万,成都·郫都区,1年,大专,合资,,金融/投资/证券,https://jobs.51job.com/chengdu/145479581.html?s=sou_sou_soulb&t=0_0&req=bd423c176b02dbda8434adc2d516fffb,https://jobs.51job.com/all/coBGVWNwRiUW8GYgdgUzc.html
c/c++开发工程师,浙江芯晖装备技术有限公司,1.5-3万,上海·浦东新区,3-4年,本科,合资,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/147950960.html?s=sou_sou_soulb&t=0_0&req=85a78d7b6047250f8a41d23d6e4506fc,https://jobs.51job.com/all/coUzAHYlA2BjAAbAFlAWY.html
嵌入式单片机开发工程师MUC/C/C++,上海风语筑文化科技股份有限公司,1-1.5万,上海,无需经验,大专,已上市,1000-5000人,影视/媒体/艺术/文化传播,https://jobs.51job.com/shanghai/135125145.html?s=sou_sou_soulb&t=0_0&req=85a78d7b6047250f8a41d23d6e4506fc,https://jobs.51job.com/all/coUjZTNgBiUm1RNVQzBWE.html
C/C++中级工程师,广东伟兴信息技术有限公司,1.2-1.5万,广州·天河区,3-4年,本科,民营,50-150人,,https://jobs.51job.com/guangzhou/147112306.html?s=sou_sou_soulb&t=0_0&req=85a78d7b6047250f8a41d23d6e4506fc,https://jobs.51job.com/all/coAGFdOFcwAjkEYlM0BWI.html
FC&C Manager,北京外企德科人力资源服务上海有限公司,1.5-2.5万·13薪,上海·浦东新区,3-4年,本科,民营,,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/147658816.html?s=sou_sou_soulb&t=0_0&req=85a78d7b6047250f8a41d23d6e4506fc,https://jobs.51job.com/all/coVTUAYlQ-VWkFYFQxUz8.html
c/c++嵌入式开发工程师,中大智能科技股份有限公司,1.8-3.5万,深圳·南山区,3-4年,本科,民营,1000-5000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/147946888.html?s=sou_sou_soulb&t=0_0&req=bb34ad5478b88485fb70cb88c5ab52cc,https://jobs.51job.com/all/coVjZTMgVgUmUPYwRhUDA.html
农业供应链销售管理负责人（兼C端销售）,成都百庆控股集团有限公司,5-8千,成都·高新区,3-4年,,民营,150-500人,房地产,https://jobs.51job.com/chengdu/146372001.html?s=sou_sou_soulb&t=0_0&req=bb34ad5478b88485fb70cb88c5ab52cc,https://jobs.51job.com/all/coAWJSNl8-VmxVNFYwUj4.html
中级C/C++开发工程师,上海微电子装备（集团）股份有限公司,22-37万/年,上海·浦东新区,3-4年,本科,合资,1000-5000人,机械/设备/重工,https://jobs.51job.com/shanghai/129115353.html?s=sou_sou_soulb&t=0_0&req=bb34ad5478b88485fb70cb88c5ab52cc,https://jobs.51job.com/all/coBmNdOF85BztWNQZg.html
C照驾驶员8000,四川安顺易达物流有限公司,8千-1.5万,成都·双流区,1年,高中,民营,500-1000人,交通/运输/物流,https://jobs.51job.com/chengdu/141366410.html?s=sou_sou_soulb&t=0_0&req=0e5d9df42ecd25740e564038deb68244,https://jobs.51job.com/all/coBWRXMFIxADZUN1QyUTA.html
C/C++ 开发工程师,上海嘉成轨道交通安全保障系统股份公司,1.5-2.5万,上海,3-4年,本科,民营,150-500人,交通/运输/物流,https://jobs.51job.com/shanghai/133671556.html?s=sou_sou_soulb&t=0_0&req=0e5d9df42ecd25740e564038deb68244,https://jobs.51job.com/all/coCG8CblY8VG1RMVM0.html
Overseas HRBP--- C & B,富士康科技集团准时达供应链管理(深圳总部),15-25万/年,深圳·龙华区,3-4年,本科,外资（非欧美）,5000-10000人,贸易/进出口,https://jobs.51job.com/shenzhen/133141463.html?s=sou_sou_soulb&t=0_0&req=bd423c176b02dbda8434adc2d516fffb,https://jobs.51job.com/all/coVDFWNQRmVm1RNlcxVDM.html
c/c++软件开发,上海网擎信息系统有限公司,1.6-3万,上海·杨浦区,3-4年,本科,民营,,通信/电信/网络设备,https://jobs.51job.com/suzhou/146822200.html?s=sou_sou_soulb&t=0_0&req=bd423c176b02dbda8434adc2d516fffb,https://jobs.51job.com/all/coB2ZSNVI2BTpSNAFnVjA.html
C/C++开发工程师,神州数码信息服务股份有限公司,1.3-1.7万·13薪,成都·高新区,3-4年,本科,已上市,10000人以上,计算机软件,https://jobs.51job.com/chengdu/144834578.html?s=sou_sou_soulb&t=0_0&req=0e5d9df42ecd25740e564038deb68244,https://jobs.51job.com/all/coVDBSMFQ_BDkBZlE0UD0.html
珠三角急招C照货运司机,广州市润达物流有限公司,1.1-1.6万,广州·花都区,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/146838276.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
C/C++开发（包食宿）,亿邦汇华（广州）科技有限公司,6千-1.2万,广州·海珠区,无需经验,大专,民营,,互联网/电子商务,https://jobs.51job.com/zhuhai/143118086.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coBWRXM1Q-VWIObQNgXDA.html
软件工程师（C/C++ Windows平台）,苇创微电子（上海）有限公司,2-4万·14薪,上海·浦东新区,3-4年,本科,民营,50-150人,计算机硬件,https://jobs.51job.com/shanghai/145859541.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coUjJUNgRkADhUMlM4VDk.html
C/C++开发工程师-北京,中电福富信息科技有限公司,1-1.5万,北京,2年,本科,国企,1000-5000人,计算机软件,https://jobs.51job.com/beijing/133952906.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coBmMHZANgBjhWOg1n.html
Auto组 SAE-C,罗德公共关系顾问（北京）有限公司,1.3-1.7万·13薪,北京·东城区,3-4年,本科,外资（欧美）,150-500人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/beijing/145928209.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coAGNRM1Y0ADgDYAJpXD8.html
运营服务主管（TO C）,深圳诺康医疗科技股份有限公司,1-1.5万·13薪,深圳,2年,大专,民营,50-150人,计算机硬件,https://jobs.51job.com/shenzhen/147412234.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coB2JTM1AzVW0BZQZlXT8.html
C/C++开发工程师,深圳市瑞吉联通信科技有限公司,1.3-1.8万,深圳·南山区,3-4年,本科,民营,150-500人,通信/电信/网络设备,https://jobs.51job.com/shenzhen/143587612.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coCGhWNV48AjUAYQVgBWI.html
售前工程师C,北京众谱达科技有限公司,1.5-2万,北京·石景山区,3-4年,本科,民营,少于50人,通信/电信/网络设备,https://jobs.51job.com/beijing/146464667.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coUzICY1E1AD8HYwBqUDA.html
85度C店员就近分配,四川伯程润锦信息技术有限公司,4-8千,上海·杨浦区,无需经验,,民营,,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/144251120.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coVjdSNQNoAjwBZwJkVzU.html
Vue前端开发工程师（C）,上海择仕信息科技有限公司,2-2.2万,上海·静安区,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/144298429.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coA2NTNlQzDjAOaFQ1VjY.html
C&B Specialist,传思译奥（上海）商贸有限公司,1-1.5万·13薪,上海·静安区,3-4年,大专,外资（欧美）,150-500人,批发/零售,https://jobs.51job.com/shanghai/147898334.html?s=sou_sou_soulb&t=0_0&req=bd423c176b02dbda8434adc2d516fffb,https://jobs.51job.com/all/coAGdQMgNoDzlSPgJjAGM.html
一天三趟招C照小货车司机,广州市润达物流有限公司,1.1-1.6万,广州,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/146682201.html?s=sou_sou_soulb&t=0_0&req=550ee338d9365ec5a6e5c09a67951dea,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
C&B officer,深圳新风和睦家医院,1-2万,深圳·福田区,5-7年,本科,合资,150-500人,医疗/护理/卫生,https://jobs.51job.com/shenzhen/147793047.html?s=sou_sou_soulb&t=0_0&req=bb34ad5478b88485fb70cb88c5ab52cc,https://jobs.51job.com/all/coCGgGYgBrBD0CZAxtVjM.html
C/C++开发工程师,北京聘多多科技有限公司,1.8-3.6万·15薪,深圳·龙岗区,1年,大专,民营,500-1000人,计算机软件,https://jobs.51job.com/shenzhen/141063575.html?s=sou_sou_soulb&t=0_0&req=bd423c176b02dbda8434adc2d516fffb,https://jobs.51job.com/all/coVjZQNFMxBTkDZgBiB2I.html
C/C++软件研发工程师,云涌科技,1-2万,北京·海淀区,1年,本科,已上市,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/130237388.html?s=sou_sou_soulb&t=0_0&req=bd423c176b02dbda8434adc2d516fffb,https://jobs.51job.com/all/coAmYFaARiDzFVM1A1B2Q.html
c/c++软件开发,上海网擎信息系统有限公司,1.6-3万,上海·杨浦区,3-4年,本科,民营,,通信/电信/网络设备,https://jobs.51job.com/zhuhai/146822216.html?s=sou_sou_soulb&t=0_0&req=bd423c176b02dbda8434adc2d516fffb,https://jobs.51job.com/all/coB2ZSNVI2BTpSNAFnVjA.html
C/C++开发工程师(J11065),曙光信息产业股份有限公司,1.5-2.5万,武汉·东西湖区,3-4年,本科,国企,1000-5000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/beijing/144933150.html?s=sou_sou_soulb&t=0_1&req=85a78d7b6047250f8a41d23d6e4506fc,https://jobs.51job.com/all/coUzcFZQJlAjgGZ1My.html
C/C++开发工程师,广州长鹏光电科技有限公司,1-1.5万·13薪,广州·番禺区,2年,本科,民营,150-500人,计算机硬件,https://jobs.51job.com/guangzhou/145710792.html?s=sou_sou_soulb&t=0_0&req=85a78d7b6047250f8a41d23d6e4506fc,https://jobs.51job.com/all/coUzNdPlUzU2QCbgxnVDQ.html
85度C 面包店员 就近分配,四川伯程润锦信息技术有限公司,4-5千,上海·松江区,无需经验,高中,民营,,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/144249563.html?s=sou_sou_soulb&t=0_0&req=85a78d7b6047250f8a41d23d6e4506fc,https://jobs.51job.com/all/coUjNQN1U-AT8EYlcxBmI.html
数据建模工程师（Python/Java/C/C++）,上海汉邦京泰数码技术有限公司,2.5-4万,上海,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/147951384.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coCW1XMgVvBT8FZwRjAm8.html
"C&B Manager, AP",特灵科技,3-4万,苏州·吴江区,8-9年,本科,外资（欧美）,5000-10000人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/147866801.html?s=sou_sou_soulb&t=0_1&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coAWIFZgVhU28FZgJjUDc.html
金融科技顾问（R/AC/C/SC/M）,成都埃萨克企业管理咨询有限公司,1.2-2.4万,深圳·福田区,1年,本科,合资,150-500人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shenzhen/143757510.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coCGhdOVExBj0HYwRmVjM.html
招C 1证专车司机,上海杰华汽车租赁有限公司,1-1.6万,上海·宝山区,无需经验,,民营,50-150人,租赁服务,https://jobs.51job.com/shanghai/138690850.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coVTVXOlI5VW8DZlcyVzM.html
C/C++高级开发工程师（DPI）,北京中创信测科技股份有限公司,1.5-3万,北京·海淀区,3-4年,本科,民营,150-500人,通信/电信运营、增值服务,https://jobs.51job.com/beijing/135207457.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coA2ZRMVM5ADhUMAVkVzM.html
C/C++开发工程师,广州纳诺科技股份有限公司,1-1.5万,广州·白云区,3-4年,大专,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/146570831.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coAmcCb1I2Vm8FYVE0VTU.html
上海C&S销售代表 (MJ003713),嘉士伯企业管理咨询有限公司,6千-1万,上海·黄浦区,2年,大专,外资（欧美）,10000人以上,,https://jobs.51job.com/shanghai/143035273.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coA2MCb1E0U2sCblcxVzQ.html
招C 1证专车司机,上海杰华汽车租赁有限公司,1-1.6万,上海·宝山区,无需经验,,民营,50-150人,租赁服务,https://jobs.51job.com/taicang/144153652.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coVTVXOlI5VW8DZlcyVzM.html
C/C++软件工程师,深圳市世椿智能装备股份有限公司,1.5-2.5万,深圳·宝安区,1年,本科,民营,500-1000人,仪器仪表/工业自动化,https://jobs.51job.com/dongguan/148349985.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coBGZSNV44DzMDYQFiUj4.html
保险销售主管C,中国平安人寿保险股份有限公司四川分公司,1-2万,成都·郫都区,无需经验,大专,合资,,金融/投资/证券,https://jobs.51job.com/chengdu/145478887.html?s=sou_sou_soulb&t=0_0&req=329f0854c639b6a4f2ff94e6ec91240e,https://jobs.51job.com/all/coBGVWNwRiUW8GYgdgUzc.html
曹C司机周结收入高,广州联集科技有限公司,1.3-2.3万,广州·白云区,无需经验,,民营,少于50人,计算机软件,https://jobs.51job.com/guangzhou/141859321.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coUjMHY1M3BjkHZlc1Uz4.html
Java工程师（兼C开发,深圳市雷摩电子有限公司,1.2-1.8万,深圳·宝安区,3-4年,大专,民营,50-150人,新能源,https://jobs.51job.com/shenzhen/141170213.html?s=sou_sou_soulb&t=0_0&req=bd423c176b02dbda8434adc2d516fffb,https://jobs.51job.com/all/coBWAGZlYxUWYGZAFgUzQ.html
高级C开发工程师,京北方信息技术股份有限公司珠海分公司,1.8-2.3万,上海·浦东新区,5-7年,本科,民营,少于50人,,https://jobs.51job.com/shanghai/147582427.html?s=sou_sou_soulb&t=0_0&req=520fdbffc0809516f7997a027c6b11a7,https://jobs.51job.com/all/coBmVTP184UmkPagNnBmQ.html
Type C连接器研发工程师,深圳市佳浩盛电子有限公司,0.8-1万,深圳·福田区,5-7年,大专,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/127831789.html?s=sou_sou_soulb&t=0_0&req=bb34ad5478b88485fb70cb88c5ab52cc,https://jobs.51job.com/all/coA2BcPgdtAz0GYgxrBmc.html
C猎头顾问（深圳福田 周末双休）,东莞市耀星网络技术有限公司,6.5千-1.3万,深圳·福田区,1年,本科,民营,50-150人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shenzhen/140676157.html?s=sou_sou_soulb&t=0_0&req=18d866539bb7cc090d04e69040f27293,https://jobs.51job.com/all/coA2JXMV88BzsOaANiAWI.html
即饮冰销售经理-TO C端(J39302),内蒙古蒙牛乳业（集团）股份有限公司冰品事业部,7-9千,成都,3-4年,大专,国企,10000人以上,,https://jobs.51job.com/chengdu/147737990.html?s=sou_sou_soulb&t=0_0&req=18d866539bb7cc090d04e69040f27293,https://jobs.51job.com/all/coAmBdOgJmUW9WOwdkBmI.html
C/C++开发工程师,北京聘多多科技有限公司,1.5-3万,成都,1年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/chengdu/141533666.html?s=sou_sou_soulb&t=0_0&req=18d866539bb7cc090d04e69040f27293,https://jobs.51job.com/all/coVjZQNFMxBTkDZgBiB2I.html
（校招）C/C++工程师_成都,新讯数字科技（杭州）有限公司,5千-1万,成都,无需经验,本科,民营,1000-5000人,通信/电信/网络设备,https://jobs.51job.com/chengdu/146495518.html?s=sou_sou_soulb&t=0_0&req=85a78d7b6047250f8a41d23d6e4506fc,https://jobs.51job.com/all/coUjdUM1IzBjlWM1c2BmI.html
不押不扣不租C照小货车司机,广州市润达物流有限公司,1.1-1.6万,广州·白云区,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/146838160.html?s=sou_sou_soulb&t=0_0&req=1bcfe17bf941d8041497cc359d2a9683,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
日均600/年薪150K/C照货运司机,广州市润达物流有限公司,1.1-1.6万,佛山·南海区,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/145863891.html?s=sou_sou_soulb&t=0_1&req=1bcfe17bf941d8041497cc359d2a9683,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
c/c++软件开发,上海网擎信息系统有限公司,1.6-3万,上海·杨浦区,3-4年,本科,民营,,通信/电信/网络设备,https://jobs.51job.com/changzhou/146822213.html?s=sou_sou_soulb&t=0_0&req=c8455b2bc55da308cbf6c99d60bce634,https://jobs.51job.com/all/coB2ZSNVI2BTpSNAFnVjA.html
C/C++应用层开发工程师,上海介方信息技术有限公司,1.5-2.5万·14薪,上海·闵行区,2年,本科,民营,少于50人,通信/电信/网络设备,https://jobs.51job.com/shanghai/144364929.html?s=sou_sou_soulb&t=0_0&req=c8455b2bc55da308cbf6c99d60bce634,https://jobs.51job.com/all/coAGICZQBkVW0BZVAzAGE.html
日薪500-700 月均12000-15000 C照货运司机,广州市润达物流有限公司,1.1-1.6万,广州·海珠区,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/146152228.html?s=sou_sou_soulb&t=0_0&req=550ee338d9365ec5a6e5c09a67951dea,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
HR Specialist-C&B,浩楷（上海）企业管理咨询有限公司,8千-1.2万,上海·虹口区,2年,大专,民营,少于50人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/shanghai/140798808.html?s=sou_sou_soulb&t=0_0&req=520fdbffc0809516f7997a027c6b11a7,https://jobs.51job.com/all/coAGMGalIwADxVNABlVDk.html
工资日结急招C照小货车司机,广州市润达物流有限公司,1.1-1.6万,广州·黄埔区,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/146838219.html?s=sou_sou_soulb&t=0_0&req=520fdbffc0809516f7997a027c6b11a7,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
C端产品经理,广州经传信息科技有限公司,1.1-2万·14薪,广州·番禺区,3-4年,本科,民营,500-1000人,互联网/电子商务,https://jobs.51job.com/guangzhou/142285463.html?s=sou_sou_soulb&t=0_0&req=863a304e78f62aaeba5d94867f977146,https://jobs.51job.com/all/coB2YBZl45AzgBZgdnVDA.html
月均12000-18000 C照货运司机,广州市润达物流有限公司,1.1-1.6万,广州·白云区,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/146031223.html?s=sou_sou_soulb&t=0_0&req=1bcfe17bf941d8041497cc359d2a9683,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
C/C++开发工程师,易站智联科技（广州）有限公司,1-2万,广州·天河区,5-7年,本科,民营,少于50人,,https://jobs.51job.com/guangzhou/140473001.html?s=sou_sou_soulb&t=0_0&req=c8455b2bc55da308cbf6c99d60bce634,https://jobs.51job.com/all/coVDVUMV46VGtSMg1nAWc.html
C/C++开发工程师,北京中创信测科技股份有限公司,1.5-2.5万,北京·海淀区,3-4年,本科,民营,150-500人,通信/电信运营、增值服务,https://jobs.51job.com/beijing/125775965.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coA2ZRMVM5ADhUMAVkVzM.html
C C++(实习生),沃丁科技（上海）有限公司,200元/天,上海·闵行区,无需经验,本科,民营,少于50人,农/林/牧/渔,https://jobs.51job.com/shanghai/146987412.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coUjIBbQRlDzNRMQxpBWY.html
c照司机不装卸,成都上财车汇汽车服务有限公司,6-8千,成都·龙泉驿区,无需经验,,民营,150-500人,交通/运输/物流,https://jobs.51job.com/chengdu/145774287.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coVTRRNFE3VW4Haw1qAmE.html
C/C++软件工程师,深圳市世椿智能装备股份有限公司,1.5-2.5万,深圳·宝安区,1年,本科,民营,500-1000人,仪器仪表/工业自动化,https://jobs.51job.com/shenzhen/148349984.html?s=sou_sou_soulb&t=0_0&req=5d591a5c5234ad7d14f12dd44f34a80f,https://jobs.51job.com/all/coBGZSNV44DzMDYQFiUj4.html
销售代表,深圳市恒天伟业科技有限公司,5千-1万·13薪,深圳·南山区,3-4年,高中,民营,150-500人,贸易/进出口,https://jobs.51job.com/shenzhen/125573599.html?s=sou_sou_soulb&t=0_0&req=6b4bdc78e43dad45f766a734d3946819,https://jobs.51job.com/all/coUjYCZQdlADwEZlE6AGI.html
税务会计,85度c,6-8千,上海·徐汇区,2年,大专,外资（非欧美）,10000人以上,餐饮业,https://jobs.51job.com/shanghai/131780810.html?s=sou_sou_soulb&t=0_0&req=6b4bdc78e43dad45f766a734d3946819,https://jobs.51job.com/all/coBmJQNVEzBToPagBhVjA.html
Junior/Senior C-V2X Enabler Tester-361,瞬联软件科技（北京）有限公司 CIeNET Technologies,2.5-3.5万,北京·朝阳区,3-4年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/beijing/146683770.html?s=sou_sou_soulb&t=0_0&req=870dc2f99fedf56bda15f51b8015f10b,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
嵌入式软件工程师（机器人）,深圳市威睿晶科电子有限公司,2-4万,深圳·光明区,3-4年,大专,民营,150-500人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/148595054.html?s=sou_sou_soulb&t=0_0&req=d2946f2e760be3ce7edc5ec6654087fb,https://jobs.51job.com/all/coBGBdOwBrBjgOalczUzM.html
外贸单证员(L/C),上海吉田拉链有限公司,5.5-7千,上海·虹口区,1年,大专,外资（非欧美）,1000-5000人,,https://jobs.51job.com/shanghai/130634948.html?s=sou_sou_soulb&t=0_0&req=0e5d9df42ecd25740e564038deb68244,https://jobs.51job.com/all/coB2NXN1Q3BzpUMgRg.html
单片机硬件工程师（C\C++）,深圳信瑞新能源科技有限公司,1.2-2.4万·13薪,深圳·宝安区,5-7年,大专,民营,少于50人,新能源,https://jobs.51job.com/shenzhen/145558525.html?s=sou_sou_soulb&t=0_0&req=520fdbffc0809516f7997a027c6b11a7,https://jobs.51job.com/all/coBGZcPwNlVGgGZVY1BWk.html
高薪林和西销售顾问c,小行家按揭（广州）信息咨询有限公司,0.8-1万,广州·天河区,无需经验,中技/中专,民营,150-500人,金融/投资/证券,https://jobs.51job.com/guangzhou/126955454.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coBmZTNlI4UmwPaAZgUDE.html
公司直招C照小货车司机,广州市润达物流有限公司,1.1-1.6万,广州·白云区,无需经验,,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/guangzhou/146838379.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coVTQFZQRnVmBTMwFrUDA.html
C/C++开发（包食宿）,亿邦汇华（广州）科技有限公司,6千-1.2万,广州·海珠区,无需经验,大专,民营,,互联网/电子商务,https://jobs.51job.com/shenzhen/143118089.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coBWRXM1Q-VWIObQNgXDA.html
C C++ C#软件工程师,宝之捷（上海）信息技术有限公司,8千-1.5万·13薪,上海·浦东新区,1年,本科,外资（欧美）,少于50人,通信/电信运营、增值服务,https://jobs.51job.com/shanghai/145829499.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coB2JWM18-BzEFaQVk.html
高薪电话销售专员c,小行家按揭（广州）信息咨询有限公司,1.5-2万,广州·天河区,无需经验,初中及以下,民营,150-500人,金融/投资/证券,https://jobs.51job.com/guangzhou/126955547.html?s=sou_sou_soulb&t=0_0&req=d28eabdc540eb7199a1f1756656b615b,https://jobs.51job.com/all/coBmZTNlI4UmwPaAZgUDE.html
Linux内核开发工程师（C）,上海择仕信息科技有限公司,3-4.5万,上海·闵行区,3-4年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/144412519.html?s=sou_sou_soulb&t=0_0&req=18d866539bb7cc090d04e69040f27293,https://jobs.51job.com/all/coA2NTNlQzDjAOaFQ1VjY.html
C证货运司机9000-12000,上海雷夏物流运输有限公司,9千-1.6万,上海·青浦区,无需经验,,民营,少于50人,交通/运输/物流,https://jobs.51job.com/shanghai/144275698.html?s=sou_sou_soulb&t=0_0&req=8cbdbd339fd256cfc18fa3d43a647839,https://jobs.51job.com/all/coCWgAZ1U2VmAObANgBWA.html
