序号,职位,公司名称,公司地点,公司性质,薪资,学历要求,工作经验,公司规模,公司福利,发布时间
1,Application Architect: Java & Web Technologies,IBM China,北京-朝阳区,外资（欧美）,2-4万/月,本科,5-7年经验,1000-5000人,五险一金 商业医疗保险 年度体检 绩效奖金 带薪年病假 国际化平台 尊重多元包容 工作生活平衡,11月21日
2,Java微服务开发工程师,日立意必锐科技（成都）有限责任公司,成都-高新区,外资（非欧美）,0.8-1.5万/月,本科,1年经验,50-150人,周末双休 五险一金 带薪年假 出国机会 健康福利 员工旅游 通讯补贴,11月21日
3,JAVA软件工程师,上海软华网络信息有限公司,上海-闵行区,民营公司,1-1.5万/月,本科,2年经验,少于50人,五险一金 绩效奖金 餐饮补贴 节日福利 带薪年假 全勤奖 做五休二 高温补贴 周末双休,11月21日
4,Java开发工程师,品冠物联科技有限公司,无锡-无锡新区,民营公司,1-1.5万/月,本科,2年经验,50-150人,周末双休 弹性工作 带薪年假 五险一金 绩效奖金 节日福利,11月21日
5,Java开发工程师,青岛华凌科技有限公司,青岛-市北区,民营公司,1-1.5万/月,本科,3-4年经验,少于50人,五险一金 绩效奖金 节日福利 交通补贴 通讯补贴,11月21日
6,Java高级程序员,南京普惠恒丰信息科技有限公司,南京,民营公司,2-2.5万/月,本科,3-4年经验,50-150人,五险一金 通讯补贴 餐饮补贴 加班补贴 绩效奖金 年终奖金,11月21日
7,JAVA开发人员,天宇正清科技有限公司,郑州-管城回族区,民营公司,1-1.5万/月,大专,5-7年经验,500-1000人,五险一金 餐饮补贴 交通补贴 周末双休,11月21日
8,Java高级开发工程师,西安创慧航天智能科技有限公司,西安-雁塔区,民营公司,1.2-1.8万/月,本科,5-7年经验,少于50人,五险一金 绩效奖金 定期体检 项目奖金 年终奖金,11月21日
9,Java开发工程师（五险一金+双休+带薪年假）,武汉长江仪器自动化研究所有限公司,武汉-江岸区,国企,5-8千/月,大专,2年经验,少于50人,出国机会 五险一金 定期体检 年终奖金,11月21日
10,软件工程师（Java）,上海遨问创业投资管理有限公司,上海-杨浦区,民营公司,1-2.5万/月,本科,1年经验,少于50人,五险一金 年终奖金 做五休二 带薪年假 节日福利 专业培训,11月21日
11,Java开发工程师,优企创联信息技术有限公司,南京-建邺区,民营公司,1.2-2万/月,大专,3-4年经验,50-150人,做五休二 周末双休 全勤奖 节日福利 五险一金 员工旅游 弹性工作 专业培训,11月21日
12,Java开发工程师,吉林省小河信息技术有限公司,长春-高新技术产业开发区,民营公司,3-6千/月,本科,2年经验,50-150人,五险一金 定期体检 节日福利 带薪年假 周六周日双休,11月21日
13,Java高级开发工程师,江西源本浩科技有限公司,南昌,民营公司,1-1.5万/月,本科,3-4年经验,少于50人,五险一金 餐饮补贴 绩效奖金 带薪年假 周末双休 弹性工作 年终奖金 交通补贴 项目提成,11月21日
14,Java开发工程师,江西微盛信息产业有限公司,南昌,民营公司,1-1.5万/月,大专,2年经验,少于50人,五险一金 交通补贴 通讯补贴 专业培训 绩效奖金 年终奖金 餐饮补贴 员工旅游 周末双休 出差补助,11月21日
15,Java开发工程师,滁州开拓者信息科技有限公司,滁州,外资（非欧美）,6-8千/月,大专,2年经验,,,11月21日
16,Java软件开发工程师,上海易爱网络技术有限公司,上海-浦东新区,合资,0.6-1万/月,本科,2年经验,少于50人,五险一金 员工旅游 出国机会 年终奖金 弹性工作 极少加班,11月21日
17,Java开发工程师,西格玛软件（江苏）有限公司,镇江-润州区,民营公司,0.6-1万/月,本科,1年经验,少于50人,周末双休 五险一金 年终奖金 节日福利 加班补贴,11月21日
18,Java开发工程师,珠海智城信息技术有限公司,珠海,民营公司,0.8-1万/月,大专,1年经验,50-150人,五险一金 周末双休,11月21日
19,Java高级开发工程师,北京医大时代科技发展有限公司,北京-海淀区,国企,2-2.5万/月,本科,5-7年经验,少于50人,五险一金 交通补贴 通讯补贴 餐饮补贴 定期体检 弹性工作 年终奖金,11月21日
20,JAVA开发工程师,上海魅伽网络科技有限公司,上海-浦东新区,民营公司,1.5-2万/月,大专,3-4年经验,50-150人,,11月21日
21,Java开发工程师,江苏赛姆沃德工程技术有限公司,南京-江北新区,民营公司,0.9-1.8万/月,本科,2年经验,少于50人,,11月21日
22,Java/Web开发工程师,上海理泊软件科技有限公司,上海-宝山区,民营公司,0.5-1万/月,大专,1年经验,50-150人,,11月21日
23,Java开发工程师,江苏德高物联技术有限公司,南通-崇川区,民营公司,4-8千/月,本科,1年经验,150-500人,节日福利 年终奖金 高温补贴 出差补贴 五险一金,11月21日
24,002java开发工程师,正方软件股份有限公司,杭州,民营公司,1.5-2万/月,本科,3-4年经验,,,11月21日
25,002Java开发工程师,杭州格原信息技术有限公司,杭州,民营公司,4.5-6千/月,本科,2年经验,,,11月21日
26,高级Java开发工程师,中关村空间信息产业技术联盟,北京,民营公司,2.5-4万/月,本科,5-7年经验,,,11月21日
27,高级JAVA软件工程师（深圳）,深圳怡化电脑股份有限公司,深圳,民营公司,1.8-3万/月,大专,3-4年经验,,,11月21日
28,Java开发工程师,深圳华智融科技股份有限公司,深圳,民营公司,1.1-2万/月,本科,3-4年经验,,,11月21日
29,Java开发工程师,皓量科技（深圳）有限公司,深圳,民营公司,1.5-2万/月,大专,3-4年经验,,,11月21日
30,JAVA开发工程师,深圳市创新源供应链集成有限公司,深圳,民营公司,1-2万/月,本科,3-4年经验,,,11月21日
31,JAVA开发工程师（青岛）,深圳高新兴神盾信息技术有限公司,青岛,民营公司,1-2万/月,大专,3-4年经验,,,11月21日
32,JAVA后端开发工程师,深圳市中达瑞和科技有限公司,深圳,民营公司,1.5-3万/月,本科,3-4年经验,,,11月21日
33,Java开发工程师,深圳市东晟数据有限公司,深圳,民营公司,1.5-2万/月,大专,2年经验,,,11月21日
34,java后端工程师,深圳沈鼓测控技术有限公司,深圳,民营公司,1.4-1.8万/月,本科,2年经验,,,11月21日
35,JAVA软件开发工程师,深圳新美装饰建设集团有限公司,深圳,民营公司,1-1.5万/月,本科,1年经验,,,11月21日
36,Java开发工程师,深圳壹零后信息技术有限公司,深圳,民营公司,1.5-2.5万/月,本科,3-4年经验,,,11月21日
37,Java开发工程师,深圳市北辰德科技股份有限公司,南昌,民营公司,1-2万/月,本科,1年经验,,,11月21日
38,java中级开发,深圳点筹农业供应链有限公司,深圳,民营公司,1.5-2万/月,本科,3-4年经验,,,11月21日
39,java,深圳市先锋居善科技有限公司,深圳,民营公司,1-1.5万/月,本科,1年经验,,,11月21日
40,Java开发工程师,深圳高新区信息网有限公司,深圳,民营公司,1-1.5万/月,本科,1年经验,,,11月21日
41,中级JAVA开发工程师,深圳多智云技术有限公司,深圳,民营公司,1.5-2万/月,本科,5-7年经验,,,11月21日
42,Java后端开发工程师,昇腾技术（深圳）有限公司,深圳,外资（非欧美）,1.5-2万/月,本科,1年经验,,,11月21日
43,中级Java开发工程师,深圳市永兴元科技股份有限公司,深圳,民营公司,1.5-2万/月,大专,5-7年经验,,,11月21日
44,java开发工程师,上海喆塔信息科技有限公司,合肥,民营公司,1.5-2万/月,本科,3-4年经验,,,11月21日
45,JAVA工程师,北京海科融通支付服务有限公司,北京,民营公司,1-1.5万/月,本科,无需经验,,,11月21日
46,002java后端开发工程师,苏州航天系统工程有限公司,苏州,民营公司,1-1.2万/月,本科,1年经验,,,11月21日
47,Java 开发工程师,天津联想协同科技有限公司,天津,民营公司,0.8-1万/月,本科,无需经验,,,11月21日
48,高级Java工程师 (出差）,神州数码系统集成服务有限公司深圳分公司,广州-天河区,民营公司,1.5-2.5万/月,本科,3-4年经验,10000人以上,五险一金 餐饮补贴 通讯补贴 定期体检,11月21日
49,Java高级开发工程师,神州数码系统集成服务有限公司西安分公司,无锡-锡山区,上市公司,1.5-2万/月,本科,2年经验,500-1000人,五险一金 通讯补贴 餐饮补贴 年终奖金 定期体检,11月21日
50,Java开发工程师（双休）,深圳市雁联计算系统有限公司,深圳-福田区,合资,1.1-2万/月,本科,3-4年经验,1000-5000人,五险一金 绩效奖金 节日福利,11月21日
51,Java高级开发工程师,襄阳智诚物联网科技有限公司,襄阳,合资,0.8-1.2万/月,大专,3-4年经验,50-150人,周末双休 五险 节假日福利 绩效奖金,11月21日
52,Java开发工程师,深圳市搜了网络科技股份有限公司,深圳-南山区,上市公司,1.5-2万/月,本科,3-4年经验,150-500人,五险一金 员工旅游 专业培训 定期体检 员工活动 法定假日,11月21日
53,JAVA开发技术总监,青岛海瑞达网络科技有限公司,青岛-市南区,民营公司,1.5-2万/月,招1人,2年经验,150-500人,五险一金 交通补贴 通讯补贴 餐饮补贴 绩效奖金 节日福利,11月21日
54,软件工程师（JAVA）,上海宝信软件股份有限公司湛江分公司,湛江,国企,4.5-6千/月,本科,1年经验,50-150人,五险一金 专业培训 年终奖金 交通补贴 通讯补贴 餐饮补贴,11月21日
55,Java资深开发工程师,中电科数智科技有限公司,上海-徐汇区,国企,22-32万/年,本科,3-4年经验,50-150人,五险一金 补充医疗保险 补充公积金 交通补贴 餐饮补贴 定期体检 年终奖金 高温津贴,11月21日
56,Java开发工程师,上海澄码信息科技有限公司,上海-浦东新区,民营公司,1-1.6万/月,本科,2年经验,50-150人,餐饮补贴 五险一金 免费班车 年终奖金,11月21日
57,Java开发工程师,北京网际威信科技有限公司,北京-海淀区,外资（非欧美）,1-1.5万/月,本科,1年经验,50-150人,五险一金 员工旅游 绩效奖金 年终奖金 定期体检,11月21日
58,Java开发工程师,广东铭太信息科技有限公司,广州,民营公司,0.6-1.5万/月,本科,2年经验,150-500人,五险一金 专业培训 员工旅游 绩效奖金 餐饮补贴 交通补贴,11月21日
59,Java中级开发工程师,上海海魄信息科技股份有限公司,上海-长宁区,民营公司,1-1.5万/月,大专,3-4年经验,50-150人,,11月21日
60,Java高级开发工程师,中国电信集团系统集成有限责任公司海南分公司,海口-龙华区,民营公司,1-1.5万/月,本科,3-4年经验,,五险一金,11月21日
61,Java高级研发工程师,无锡云鹊科技有限公司,无锡-无锡新区,民营公司,1.5-2.5万/月,本科,3-4年经验,少于50人,五险一金 绩效奖金 补充医疗保险 股票期权 餐饮补贴 年终奖金,11月21日
62,Java中级开发工程师,厦门青叶软件股份有限公司,厦门-思明区,民营公司,1-1.5万/月,本科,2年经验,少于50人,,11月21日
63,Java开发工程师,青岛易联万家科技有限公司南京分公司,南京-栖霞区,民营公司,1-1.7万/月,大专,3-4年经验,50-150人,五险一金 交通补贴 员工旅游 绩效奖金 弹性工作 定期体检,11月21日
64,Java高级开发工程师,江苏优利信教育科技有限公司,无锡-江阴市,民营公司,1-2万/月,本科,3-4年经验,50-150人,五险一金 周末双休 年底双薪 节日福利 带薪年假 项目奖励 高温补贴,11月21日
65,Java开发工程师,北京汉克时代科技有限公司,北京-通州区,民营公司,1.4-2万/月,大专,3-4年经验,1000-5000人,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 节日福利,11月21日
66,Java开发工程师,上海至杰物联科技有限公司,上海-浦东新区,民营公司,0.8-1.8万/月,大专,2年经验,少于50人,,11月21日
67,中级Java开发工程师(001223),畅捷通信息技术股份有限公司,北京-海淀区,上市公司,2-3万/月,本科,3-4年经验,500-1000人,年底双薪 带薪年假 交通补助 定期体检,11月21日
68,Java开发工程师,遨博（江苏）机器人有限公司,苏州-工业园区,合资,0.8-1.5万/月,本科,2年经验,150-500人,五险一金 餐饮补贴 通讯补贴 定期体检 年终奖金 交通补贴,11月21日
69,JAVA初级开发助理,雨浩科技（深圳）有限公司,深圳-宝安区,民营公司,6-8千/月,大专,无需经验,,五险一金 绩效奖金 年终奖金 员工旅游 出国机会,11月21日
70,Java开发工程师,菏泽好品网络科技有限公司,济南,民营公司,6-8千/月,大专,2年经验,150-500人,五险一金 法定假日 周末单双休,11月21日
71,Java中/高级开发工程师 全额五险一金 双休,深圳万科祥盈管理服务有限公司成都分公司,武汉-江汉区,民营公司,1.3-1.6万/月,本科,3-4年经验,,节日福利 周末双休 补充医疗保险 专业培训 绩效奖金,11月21日
72,Java高级开发工程师,深圳市华付信息技术有限公司,深圳,民营公司,2-2.5万/月,本科,5-7年经验,,五险一金 绩效奖金 年终奖金 周末双休,11月21日
73,Java开发工程师（后端）,河南蒂尔施化妆品有限公司,新乡,合资,6-8千/月,大专,3-4年经验,,,11月21日
74,高级Java开发工程师,武汉格蓝若智能技术有限公司,武汉-东湖新技术产业开发区,民营公司,1.4-1.7万/月,本科,5-7年经验,150-500人,五险一金 年终奖金 员工旅游 项目奖金 定期体检 绩效奖金 定期团建 免费班车 带薪年假 餐补交补,11月21日
75,java 开发工程师,深圳市智布互联纺织科技有限公司,深圳-南山区,合资,1.6-3万/月,本科,3-4年经验,500-1000人,绩效奖金 节日福利 年终奖金 餐饮补贴 交通补贴 商业保险 全勤奖 五险一金,11月21日
76,Java高级开发工程师,山东大通前沿电子科技股份有限公司,济南-历下区,民营公司,0.7-1.3万/月,本科,3-4年经验,少于50人,五险一金 绩效奖金 专业培训 通讯补贴 年终奖金,11月21日
77,Java全栈开发工程师,广州上智一号创意园有限公司,广州-花都区,民营公司,1-1.5万/月,本科,2年经验,少于50人,年终奖金 包吃 包住宿 全勤奖 高温补贴 社保 绩效奖金,11月21日
78,Java开发工程师,重庆谦雅科技有限公司,重庆-九龙坡区,民营公司,0.8-1.2万/月,大专,2年经验,50-150人,五险一金 员工旅游 餐饮补贴 年终奖金 绩效奖金 专业培训,11月21日
79,Java开发工程师,福建民本信息科技有限公司,福州-台江区,民营公司,7-9千/月,大专,1年经验,150-500人,五险 全勤奖 交通补贴 高温补贴 带薪年假 年终奖金 节日福利 餐饮补贴,11月21日
80,Java开发工程师,深圳市睿服科技有限公司,广州-天河区,民营公司,1.3-1.7万/月,本科,3-4年经验,500-1000人,,11月21日
81,Java开发工程师,深圳市海博智业管理咨询有限公司成都分公司,成都-高新区,民营公司,0.8-1.5万/月,本科,1年经验,50-150人,五险一金 交通补贴 绩效奖金 年终奖金 餐饮补贴 通讯补贴 定期体检 补充医疗保险,11月21日
82,Java开发工程师,西本新干线股份有限公司,上海-虹口区,民营公司,1.5-2万/月,本科,2年经验,50-150人,五险一金 餐饮补贴,11月21日
83,Java开发工程师,广州甲由科技有限公司,广州-荔湾区,民营公司,0.8-1.5万/月,大专,2年经验,少于50人,,11月21日
84,java全栈工程师,广州璐华信息技术有限公司,广州-天河区,民营公司,1-1.5万/月,本科,2年经验,少于50人,五险一金 补充医疗保险 弹性工作 交通补贴 周末双休 年终奖金,11月21日
85,Java开发工程师,湖南皇爷食品有限公司,湘潭,民营公司,0.6-1万/月,大专,3-4年经验,5000-10000人,带薪年假 五险一金 包吃包住 绩效奖金 节日福利 专业培训,11月21日
86,Java高级工程师,上海清序科技有限公司,上海-徐汇区,民营公司,2-2.5万/月,本科,3-4年经验,,,11月21日
87,Java后端开发工程师,武汉微晶石科技股份有限公司,武汉-江岸区,民营公司,0.8-1.6万/月,本科,2年经验,50-150人,包住 五险一金 员工旅游 专业培训 绩效奖金 年终奖金 股票期权 定期体检,11月21日
88,JAVA中高级工程师,深圳市松鼠教育科技有限公司,深圳-福田区,民营公司,1.8-2.5万/月,本科,3-4年经验,500-1000人,五险一金 员工旅游 绩效奖金 年终奖金 弹性工作,11月21日
89,Java开发工程师,深圳市金城保密技术有限公司,深圳,民营公司,0.8-1万/月,大专,3-4年经验,,,11月21日
90,JAVA工程师,深圳市前海晨供应链管理有限公司,深圳,合资,0.9-1.5万/月,本科,3-4年经验,,,11月21日
91,Java开发工程师,无锡鼎洲电子科技有限公司,无锡-滨湖区,民营公司,1-1.5万/月,本科,3-4年经验,50-150人,五险一金 绩效奖金 节日福利 餐饮补贴 通讯补贴,11月21日
92,Java开发工程师,苏州艾科锐特生物医学科技有限公司,苏州,民营公司,0.8-1.7万/月,大专,2年经验,50-150人,五险一金 餐饮补贴 专业培训 年终奖金 弹性工作,11月21日
93,Java开发工程师,深圳市六度人和科技有限公司,深圳,民营公司,1.5-2.5万/月,本科,3-4年经验,,,11月21日
94,java开发岗,富德保险控股股份有限公司,深圳,民营公司,1.2-1.8万/月,本科,3-4年经验,,,11月21日
95,Java开发工程师,浙江星汉信息技术股份有限公司,杭州-西湖区,民营公司,0.6-1.2万/月,大专,1年经验,150-500人,五险一金 绩效奖金 年终奖金 专业培训 定期体检 带薪年假 节日福利 周末双休 股票期权,11月21日
96,Java开发工程师,深圳深创建控股集团有限公司,深圳,民营公司,0.9-1.3万/月,招2人,1年经验,,,11月21日
97,Java服务器开发工程师,深圳市迷你玩科技有限公司,深圳,民营公司,3-4万/月,本科,5-7年经验,,,11月21日
98,Java开发工程师,广州市九巢信息科技有限公司,广州-番禺区,民营公司,6-8千/月,大专,1年经验,少于50人,,11月21日
99,Java开发工程师,摩比可可（深圳）网络科技有限公司,深圳,民营公司,1-1.5万/月,本科,2年经验,,,11月21日
100,软件工程师（JAVA）,深圳市云房网络科技有限公司大冲分公司,深圳,民营公司,1.2-2万/月,本科,3-4年经验,,,11月21日
101,高级JAVA开发工程师,深圳程信达科技有限公司,深圳,民营公司,1.2-2.4万/月,本科,2年经验,,,11月21日
102,002Java工程师,小鹿腾云（苏州）信息科技有限公司,苏州,民营公司,1-2万/月,本科,5-7年经验,,,11月21日
103,JAVA开发工程师,中饮巴比食品股份有限公司,上海,民营公司,1-1.5万/月,大专,2年经验,,,11月21日
104,高级java开发工程师,上海森松制药设备工程有限公司,上海,外资（非欧美）,1-1.5万/月,本科,3-4年经验,,,11月21日
105,Java开发工程师,深圳市紫川软件有限公司,成都-锦江区,民营公司,1-2万/月,大专,3-4年经验,500-1000人,五险一金 员工旅游 定期体检 年终奖金,11月21日
106,Java高级开发工程师,杭州奥博信息技术有限公司,杭州-滨江区,民营公司,1.5-2.1万/月,本科,5-7年经验,少于50人,五险一金 餐饮补贴 年终奖金,11月21日
107,JAVA开发人员,湖北互得科技有限公司,襄阳,民营公司,0.6-1.2万/月,大专,1年经验,少于50人,五险一金 员工旅游 绩效奖金 年终奖金,11月21日
108,Java中高级工程师,佛山市淇特科技有限公司,广州-天河区,民营公司,1.5-2万/月,大专,3-4年经验,500-1000人,,11月21日
109,高级java开发工程师,郑州深蓝电子有限公司,郑州,民营公司,1-1.5万/月,本科,3-4年经验,少于50人,五险一金 员工旅游 餐饮补贴 年终奖金,11月21日
110,Java高级研发工程师（杭州）,上海杏和软件有限公司,杭州-滨江区,民营公司,2.2-3.2万/月,本科,5-7年经验,150-500人,五险一金 绩效奖金 员工旅游 餐饮补贴 通讯补贴 年终奖金,11月21日
111,Java开发工程师（五险一金双休）,山东天地通数码科技有限公司,济南-高新区,民营公司,0.8-1万/月,大专,2年经验,50-150人,五险一金 节日福利 年终奖金 聚餐活动 员工旅游 文体活动 法定假日 周末双休,11月21日
112,Java技术经理,广州立趣信息科技有限公司,广州-天河区,民营公司,1.5-2万/月,本科,3-4年经验,少于50人,五险一金 年终奖金 弹性工作 定期体检 餐饮补贴 通讯补贴 交通补贴 绩效奖金,11月21日
113,高级Java开发工程师,上海亿通国际股份有限公司,上海,国企,1.6-2.3万/月,本科,5-7年经验,150-500人,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 绩效奖金 定期体检,11月21日
114,Java开发工程师,承启通（福建）科技有限公司,福州-鼓楼区,民营公司,1-1.5万/月,本科,3-4年经验,50-150人,,11月21日
115,Java开发工程师,河南南山方略网络科技有限公司,郑州-金水区,民营公司,4-6千/月,本科,2年经验,少于50人,五险一金 员工旅游 交通补贴 通讯补贴 绩效奖金,11月21日
116,JAVA开发组长,中健云康（广州）物流供应链有限公司,广州-番禺区,民营公司,1.2-1.5万/月,本科,3-4年经验,150-500人,通讯补贴 年终奖金 员工旅游 五险一金 加班补贴 节日福利 做五休二 带薪年假,11月21日
117,JAVA开发工程师,上海智楹机器人科技有限公司,上海-浦东新区,民营公司,1.5-3万/月,本科,3-4年经验,150-500人,五险一金 节日福利 餐饮补贴 交通补贴 定期体检 年终奖金 高温补贴,11月21日
118,软件工程师JAVA,江苏新道格自控科技有限公司,无锡,国企,0.8-1万/月,本科,2年经验,,,11月21日
119,Java开发工程师,南京简智达信息科技有限公司,南京-浦口区,创业公司,0.8-1万/月,大专,2年经验,少于50人,五险一金 绩效奖金 年终奖金 餐饮补贴,11月21日
120,Java软件工程师,常州赛瑞克包装机械有限公司,常州,民营公司,0.8-1万/月,大专,3-4年经验,50-150人,,11月21日
121,Java开发/Android开发工程师,青岛科信安全技术有限公司,青岛-崂山区,民营公司,1-1.5万/月,大专,5-7年经验,少于50人,五险一金 餐饮补贴 通讯补贴 绩效奖金 交通补贴 员工旅游 公司聚餐 高底薪高提成 周末双休,11月21日
122,高级java开发工程师,南京众仓科技有限公司,南京-栖霞区,民营公司,1.8-3万/月,本科,5-7年经验,少于50人,周末双休 五险一金 餐饮补贴 交通补贴 弹性工作 绩效奖金 年终奖金,11月21日
123,Java开发工程师,重庆云之佳科技股份有限公司,重庆-渝北区,民营公司,0.5-1万/月,本科,1年经验,50-150人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 股票期权 周末双休,11月21日
124,JAVA开发工程师,每利控股,沈阳,民营公司,5-7千/月,大专,3-4年经验,150-500人,五险一金 员工旅游 专业培训 出国机会 绩效奖金 年终奖金 股票期权 定期体检,11月21日
125,JAVA研发工程师,杭州创谐信息技术股份有限公司,杭州-滨江区,民营公司,1-2万/月,本科,3-4年经验,50-150人,五险一金 员工旅游 绩效奖金 餐饮补贴 股票期权 年终奖金 弹性工作,11月21日
126,Java开发工程师,西安创芯软件有限公司,西安-高新技术产业开发区,民营公司,1-1.5万/月,本科,2年经验,少于50人,,11月21日
127,Java研发工程师,武汉凯默电气有限公司,武汉-江夏区,民营公司,1-1.5万/月,本科,3-4年经验,50-150人,五险一金 专业培训 年终奖金 员工旅游 定期体检 17薪,11月21日
128,钉钉(DingTalk)-Java高级开发工程师-智能人事,阿里巴巴集团,杭州,上市公司,,本科,2年经验,10000人以上,,11月21日
129,19332-产业互联网Java高级开发工程师,深圳市腾讯计算机系统有限公司,上海-徐汇区,民营公司,3-6万/月,本科,5-7年经验,10000人以上,,11月21日
130,Java 研发工程师,富泰华工业（深圳）有限公司,深圳-南山区,外资（非欧美）,1.3-2.5万/月,本科,3-4年经验,10000人以上,五险一金 绩效奖金 带薪年假 年终奖金 免费体检 节日福利 免费班车 定期体检 提供住宿 专业培训,11月21日
131,对日Java工程师 (MJ000109),松下信息系統（上海）有限公司,无锡,外资（非欧美）,1-2万/月,本科,5-7年经验,150-500人,全额加班费 五险一金 补充医疗保险 员工旅游 出国机会 专业培训 交通补贴 定期体检 年终奖金 绩效奖金,11月21日
132,中高级Java开发（五险一金+双休）,中软国际科技服务有限公司,成都,合资,1.2-1.7万/月,大专,2年经验,10000人以上,五险一金 定期体检 年终奖金 加班补贴 周末双休 交通便利,11月21日
133,java开发中级工程师,申通快递有限公司,上海-青浦区,上市公司,1.5-2.5万/月,招7人,3-4年经验,10000人以上,五险一金 节日福利,11月21日
134,Java高级开发工程师,神州数码信息服务股份有限公司,北京-朝阳区,上市公司,1.2-2万/月,大专,5-7年经验,5000-10000人,,11月21日
135,JAVA(初级-高级),武汉佰钧成技术有限责任公司,北京-西城区,民营公司,1-1.7万/月,大专,3-4年经验,10000人以上,五险一金 弹性工作 定期体检,11月21日
136,Java开发工程师,大连亿达信息技术有限公司深圳分公司,佛山-顺德区,民营公司,1.1-1.8万/月,大专,3-4年经验,500-1000人,六险一金 年终奖金 定期体检 弹性工作 节假日福利,11月21日
137,中级Java开发工程师（EAS，SHR，苍穹）,金蝶软件（中国）有限公司武汉分公司,武汉,上市公司,0.5-1万/月,本科,2年经验,50-150人,五险一金 定期体检 年终奖金 交通补贴 通讯补贴 弹性工作,11月21日
138,Java开发工程师,金蝶软件(中国）有限公司福州分公司,福州-仓山区,上市公司,1-1.5万/月,本科,2年经验,50-150人,五险一金 年终奖金 通讯补贴 定期体检,11月21日
139,java开发工程师,国衡智慧（广东）科技有限公司,北京-海淀区,民营公司,5-7千/月,大专,1年经验,,五险一金 交通补贴 餐饮补贴 专业培训 年终奖金,11月21日
140,Java开发工程师,浙江心思智能科技有限公司,温州-龙湾区,民营公司,0.8-1万/月,本科,3-4年经验,150-500人,五险一金 员工旅游 专业培训 定期体检 年终奖金 全勤奖 周末双休,11月21日
141,中级Java开发工程师（上海）,银雁科技服务集团股份有限公司,上海,民营公司,1.5-2万/月,本科,3-4年经验,10000人以上,,11月21日
142,Java开发工程师,深圳聚物网络科技有限公司,深圳-南山区,民营公司,0.9-1.8万/月,本科,3-4年经验,50-150人,五险一金 员工旅游 绩效奖金 年终奖金 定期体检,11月21日
143,资深Java开发工程师,江苏智臻能源科技有限公司,南京-江宁区,民营公司,20-30万/年,本科,3-4年经验,50-150人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 弹性工作 员工旅游 定期体检 年终奖金,11月21日
144,Java中级开发工程师,成都天晟云信息技术有限公司,成都-高新区,民营公司,1-1.5万/月,大专,3-4年经验,50-150人,五险一金 专业培训 绩效奖金 年终奖金 弹性工作,11月21日
145,Java高级开发工程师,苏州水云境科技有限公司,苏州-高新区,创业公司,1.5-2万/月,本科,5-7年经验,50-150人,五险一金 年终奖金 通讯补贴,11月21日
146,Java开发工程师,武汉鸿羽信息技术有限公司,武汉-江岸区,民营公司,0.6-1.1万/月,本科,2年经验,50-150人,五险一金 补充医疗保险 年终奖金,11月21日
147,Java开发工程师,合肥中科融道智能科技有限公司,合肥-肥西县,民营公司,0.7-1.4万/月,本科,1年经验,少于50人,五险一金 员工旅游 年终奖金 餐饮补贴 通讯补贴 定期体检,11月21日
148,Java开发工程师,上海何伟安防科技有限公司,上海-宝山区,民营公司,1.5-2万/月,大专,5-7年经验,50-150人,免费班车 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金,11月21日
149,JAVA工程师,石家庄青番信息技术有限公司,石家庄-桥西区,民营公司,1-1.5万/月,本科,1年经验,少于50人,员工旅游 交通补贴 年终奖金 绩效奖金 定期体检 弹性工作 五险一金,11月21日
150,Java开发工程师,安徽安必生信息科技有限公司,合肥,民营公司,0.7-1万/月,招4人,2年经验,少于50人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 节假日福利,11月21日
151,JAVA开发工程师/系统开发工程师,广东省南方名牌农产品推进中心,广州,非营利组织,1-1.5万/月,本科,2年经验,50-150人,五险一金 绩效奖金 节日福利,11月21日
152,Java中级开发工程师,杭州驿德科技有限公司,杭州-萧山区,民营公司,1.2-2万/月,本科,3-4年经验,少于50人,五险一金 年终奖金,11月21日
153,Java开发工程师,苏州绿叶日用品有限公司,苏州-高新区,民营公司,1.2-1.8万/月,本科,3-4年经验,1000-5000人,五险一金 员工旅游 带薪年假 绩效奖金 做五休二 专业培训 年终分红 免费班车 免费工作餐,11月21日
154,Java开发工程师,北京安富通科技有限公司,北京-昌平区,民营公司,0.9-1.5万/月,大专,2年经验,少于50人,五险一金 餐饮补贴,11月21日
155,Java后端开发工程师（有工业企业经历）,苏州协同创新智能制造装备有限公司,苏州-吴中区,民营公司,1.5-2万/月,本科,2年经验,150-500人,周末双休 弹性工作 带薪年假 五险一金 包吃 绩效奖金,11月21日
156,Java开发工程师,贵州鑫智联科技有限公司,贵阳,民营公司,0.7-1万/月,大专,2年经验,少于50人,五险一金 绩效奖金 周末双休 带薪年假,11月21日
157,Java开发工程师,上海励齿医疗科技有限公司,上海-徐汇区,外资（非欧美）,1.3-2.5万/月,本科,3-4年经验,50-150人,做五休二 带薪年假 五险一金 绩效奖金 节日福利 专业培训 补充医疗保险 海外旅游,11月21日
